id_bdq,lon_fire,lat_fire,data_pas,bioma,year,month,day,hour,code_muni,name_muni,name_state,lon_muni,lat_muni,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,wind_speed_ms,wind_direction,fire_direction,direction_diff,upwind_30,upwind_35,upwind_40,upwind_45
 14883063 ,-35.707,-7.112,2004-01-02T16:19:00Z,Caatinga,2004,1,2,18,2511707,piloezinhos,paraiba,-35.53058570403303,-6.840568783043275,83.3,0.1,25.6,8.6,0.4,NA,30.8,50,4,95,212.81657658359387,117.81657658359387,FALSE,FALSE,FALSE,FALSE
 14883059 ,-35.751,-6.567,2004-01-02T16:19:00Z,Caatinga,2004,1,2,18,2503605,caicara,paraiba,-35.46911428209959,-6.61746979091996,82.1,0.1,24.9,8.6,0.4,NA,31,50,4.1,97,280.20081969982687,176.79918030017313,FALSE,FALSE,FALSE,FALSE
 14883059 ,-35.751,-6.567,2004-01-02T16:19:00Z,Caatinga,2004,1,2,18,2504157,casserengue,paraiba,-35.816304829465615,-6.783760325734679,89.5,0.1,26.4,8.8,0.3,NA,31.4,45,3.9,92,16.66278952474346,75.33721047525654,FALSE,FALSE,FALSE,FALSE
 14883059 ,-35.751,-6.567,2004-01-02T16:19:00Z,Caatinga,2004,1,2,18,2505352,damiao,paraiba,-35.90994253576616,-6.631897407348119,89,0.1,26.1,8.8,0.3,NA,31.6,45,4,92,67.66497029407242,24.33502970592758,TRUE,TRUE,TRUE,TRUE
 14883054 ,-37.476,-4.679,2004-01-02T16:19:00Z,Caatinga,2004,1,2,18,2411056,tibau,rio grande do norte,-37.25130266813582,-4.8414374104414435,77,0.1,21.1,6.3,0.3,NA,34,41,5.4,55,305.9484651765349,109.05153482346509,FALSE,FALSE,FALSE,FALSE
 14883053 ,-36.782,-8.6,2004-01-02T16:18:00Z,Caatinga,2004,1,2,18,2616001,venturosa,pernambuco,-36.87837208386985,-8.57652690116664,93.5,0.1,32.4,3.3,0.4,NA,32,41,2.5,84,103.84533261306069,19.84533261306069,TRUE,TRUE,TRUE,TRUE
 14883051 ,-36.143,-8.376,2004-01-02T16:18:00Z,Caatinga,2004,1,2,18,2612505,santa cruz do capibaribe,pernambuco,-36.20395001714574,-7.9551894999999995,93.2,0.2,31,6.1,0.5,NA,30.6,47,3.4,78,171.84534768334993,93.84534768334993,FALSE,FALSE,FALSE,FALSE
 14883051 ,-36.143,-8.376,2004-01-02T16:18:00Z,Caatinga,2004,1,2,18,2614709,tacaimbo,pernambuco,-36.29040430482552,-8.315610724825847,92.4,0.2,31.1,5.7,0.5,NA,30.7,47,3.3,76,112.50364372186385,36.50364372186385,FALSE,FALSE,TRUE,TRUE
 14883050 ,-36.775,-8.557,2004-01-02T16:18:00Z,Caatinga,2004,1,2,18,2610905,pesqueira,pernambuco,-36.695514721897936,-8.355456107834964,94.1,0.1,32.2,3.9,0.4,NA,31.5,42,2.9,79,201.30464936714446,122.30464936714446,FALSE,FALSE,FALSE,FALSE
 14883049 ,-39.139,-12.321,2004-01-02T16:18:00Z,Mata Atlântica,2004,1,2,18,2910800,feira de santana,bahia,-38.96003309632135,-12.22928425248005,76.2,0.2,23.9,10.1,0.8,NA,33.9,46,2.3,94,242.30562374272796,148.30562374272796,FALSE,FALSE,FALSE,FALSE
